INCOME,WAGEINC,BUSSEFARMINC,INTDIVINC,KGINC,TRANSFOTHINC,SSRETINC,ASSET,DEBT,NETWORTH,HOUSES,MRTHEL,NFIN,FIN,ODEBT,LIQ,BOND,STOCKS,IRAKH,OTHMA,WGT,AGE,Age Group,NETHOUSE,NETFIN,NETHOUSECLIPPED,NETHOUSEDIFF,NETWORTHADJUSTED,isPersonalQualified,isIncomeQualified,isFinancialQualified,PERCENTLIQUIDASSETS,PERCENTILLIQUIDASSETS,PERCENTSTOCKS,PERCENTBOND,PERCENTFINOTHERS,PERCENTFIXEDINCOME,PERCENTVARIABLEINCOME,PERCENTOTHERINCOME,COMMITMENTAMOUNT
619630.54108592,126607.20190377998,-6851.683868042,16414.251353265998,484086.36022682,0.0,0.0,1723051.2,351390.0,1371661.2,427179.99999999994,319696.0,500213.99999999994,1222837.2,0.0,652896.3999999999,0.0,489189.99999999994,75790.0,0.0,2122.5190517,35,26-35,107483.99999999994,1222837.2,107483.99999999994,0.0,1371661.2,False,True,True,0.5339193148523776,0.46608068514762235,0.4000450755014649,0.0,0.06603560964615751,0.20432692307564004,0.7966826923135686,-0.001009615389208629,1506898.124051816
640483.4919862599,253214.40380755995,0.0,0.0,297899.29859793995,89369.78957938199,0.0,1033499.9999999999,663507.0,369993.0,869517.9999999999,640770.0,989403.9999999999,44096.0,0.0,44096.0,0.0,0.0,0.0,0.0,12200.762907,34,26-35,228747.99999999988,44096.0,228747.99999999988,0.0,369993.0,False,True,False,1.0,0.0,0.0,0.0,0.0,0.39534883720780123,0.46511627906926706,0.1395348837229317,377570.10858124983
312794.26353265997,297899.29859793995,0.0,74.474824648796,14894.964929208,0.0,0.0,830520.6,286624.0,543896.6,551200.0,286624.0,591988.7999999999,238531.8,0.0,63801.399999999994,17914.0,0.0,137800.0,0.0,8359.24304,31,26-35,264576.0,238531.8,264576.0,0.0,543896.6,False,True,False,0.267475447718082,0.7325245522819179,0.0,0.07510109763142693,0.6574234546504911,0.9523809523662675,0.04785714285420002,-0.00023809522046754072,637011.2029333614
350031.67585567996,342584.19338832,0.0,0.0,7596.4321142268,0.0,0.0,1366976.0,542932.0,824043.9999999999,490567.99999999994,542932.0,490567.99999999994,876407.9999999999,0.0,8268.0,0.0,620100.0,0.0,0.0,7728.99554,35,26-35,-52364.00000000006,876407.9999999999,-52364.00000000006,0.0,824043.9999999999,False,True,False,0.009433962264150945,0.9905660377358491,0.7075471698113208,0.0,0.28301886792452824,0.9787234042486183,0.021702127659323184,-0.0004255319079414406,970026.6605084678
403653.54960138,402164.05309964,0.0,14.894964929208,0.0,0.0,0.0,1227522.4,201187.99999999997,1026334.3999999999,757899.9999999999,162604.0,835067.9999999999,392454.39999999997,0.0,161226.0,0.0,16536.0,0.0,0.0,13731.080099,33,26-35,595295.9999999999,392454.39999999997,595295.9999999999,0.0,1026334.3999999999,False,True,False,0.41081460674157305,0.589185393258427,0.04213483146067416,0.0,0.5470505617977528,0.9963099630779639,3.690036900187605e-05,0.00365313655303419,379448.4102705728
372374.12324398,372374.12324398,0.0,0.0,0.0,0.0,0.0,424423.99999999994,228747.99999999997,195675.99999999997,0.0,0.0,95081.99999999999,329342.0,13779.999999999998,106105.99999999999,0.0,0.0,1378.0,0.0,9645.5448948,32,26-35,0.0,315562.0,0.0,0.0,195675.99999999997,False,True,False,0.3221757322175732,0.6778242677824269,0.0,0.0,0.6778242677824269,1.0,0.0,0.0,130919.96782860722
312794.26353265997,296409.80210997997,0.0,0.0,0.0,0.0,14894.964929208,1240503.16,469897.99999999994,770605.1599999999,516749.99999999994,413399.99999999994,640770.0,599733.1599999999,0.0,113271.59999999999,0.0,578.76,0.0,0.0,7673.8872504,35,26-35,103350.0,599733.1599999999,103350.0,0.0,770605.1599999999,False,True,False,0.18886999678323607,0.8111300032167639,0.000965029180644272,0.0,0.8101649740361196,0.9952380952366267,0.0,0.004761904763373348,457094.98771813454
381311.10219929996,297899.29859793995,53621.873747077996,0.0,29789.929859794,0.0,0.0,4263945.399999999,1324533.5999999999,2939411.8,1102400.0,1019719.9999999999,3089475.9999999995,1174469.4,0.0,237429.4,0.0,620100.0,165360.0,0.0,12381.543814,30,26-35,82680.00000000012,1174469.4,82680.00000000012,0.0,2939411.8,True,True,True,0.20215886424967736,0.7978411357503227,0.5279831045406548,0.0,0.2698580312096679,0.7812500000124225,0.2187500000020328,-1.4455298069648848e-11,2884816.8838121146
341094.69690036,0.0,339605.20039862,0.0,0.0,0.0,0.0,1647123.4,626990.0,1020133.3999999999,1033499.9999999999,626990.0,1389850.7999999998,257272.59999999998,0.0,250106.99999999997,0.0,0.0,0.0,0.0,2480.9477511,32,26-35,406509.9999999999,257272.59999999998,406509.9999999999,0.0,1020133.3999999999,False,True,False,0.9721478307445098,0.027852169255490167,0.0,0.0,0.027852169255490167,0.0,0.9956331877473453,0.004366812252654673,676027.4371888957
372374.12324398,372374.12324398,0.0,0.0,0.0,0.0,0.0,425801.99999999994,227369.99999999997,198431.99999999997,0.0,0.0,96459.99999999999,329342.0,13779.999999999998,106105.99999999999,0.0,0.0,1378.0,0.0,9546.2785142,32,26-35,0.0,315562.0,0.0,0.0,198431.99999999997,False,True,False,0.3221757322175732,0.6778242677824269,0.0,0.0,0.6778242677824269,1.0,0.0,0.0,170859.3731190625
