INCOME,WAGEINC,BUSSEFARMINC,INTDIVINC,KGINC,TRANSFOTHINC,SSRETINC,ASSET,DEBT,NETWORTH,HOUSES,MRTHEL,NFIN,FIN,ODEBT,LIQ,BOND,STOCKS,IRAKH,OTHMA,WGT,AGE,Age Group,NETHOUSE,NETFIN,NETHOUSECLIPPED,NETHOUSEDIFF,NETWORTHADJUSTED,isPersonalQualified,isIncomeQualified,isFinancialQualified,PERCENTLIQUIDASSETS,PERCENTILLIQUIDASSETS,PERCENTSTOCKS,PERCENTBOND,PERCENTFINOTHERS,PERCENTFIXEDINCOME,PERCENTVARIABLEINCOME,PERCENTOTHERINCOME,COMMITMENTAMOUNT
558561.18487286,89369.78957938199,430464.48646734,0.0,40216.40530996399,0.0,0.0,15261763.399999999,2066999.9999999998,13194763.399999999,1378000.0,0.0,9784902.399999999,5476861.0,0.0,13090.999999999998,0.0,0.0,55119.99999999999,5098600.0,7020.4471768,24,19-25,1378000.0,5476861.0,1000000.0,378000.0,12816763.399999999,True,True,True,0.0023902377657566984,0.9976097622342432,0.0,0.0,0.9976097622342432,0.1599999999995066,0.8426666666507459,-0.0026666666502523917,13007572.85649977
323220.73897594,190655.55110654,132565.18787628997,0.0,0.0,0.0,0.0,976381.8999999999,228747.99999999997,747633.8999999999,310050.0,148824.0,519505.99999999994,456875.89999999997,0.0,236395.9,0.0,0.0,48229.99999999999,0.0,2183.2120499,30,26-35,161226.0,456875.89999999997,161226.0,0.0,747633.8999999999,False,True,False,0.5174181873020661,0.4825818126979339,0.0,0.0,0.4825818126979339,0.5898617511691664,0.4101382488521503,-2.1316670650861624e-11,180993.95243182554
640483.4919862599,253214.40380755995,0.0,0.0,297899.29859793995,89369.78957938199,0.0,1034877.9999999999,663507.0,371370.99999999994,869517.9999999999,640770.0,990781.9999999999,44096.0,0.0,44096.0,0.0,0.0,0.0,0.0,11872.596866,34,26-35,228747.99999999988,44096.0,228747.99999999988,0.0,371370.99999999994,False,True,False,1.0,0.0,0.0,0.0,0.0,0.39534883720780123,0.46511627906926706,0.1395348837229317,411853.11313200125
335136.71092095994,268109.36874228,22342.447395189996,0.0,953.27775550514,44684.894789002,0.0,862765.7999999999,467141.99999999994,395623.8,689000.0,432691.99999999994,733785.0,128980.79999999999,0.0,29764.8,0.0,19292.0,62009.99999999999,0.0,10423.414041,27,26-35,256308.00000000006,128980.79999999999,256308.00000000006,0.0,395623.8,False,True,False,0.23076923076923078,0.7692307692307692,0.1495726495726496,0.0,0.6196581196581197,0.8000000000164471,0.06951111111247164,0.13048888887108123,450675.01170607936
1489496.4929207999,1489496.4929207999,0.0,1489.4964929207997,0.0,0.0,0.0,2979304.9,0.0,2979304.9,0.0,0.0,275600.0,2703704.9,0.0,333476.0,0.0,551200.0,0.0,206699.99999999997,6169.9566782,26,26-35,0.0,2703704.9,0.0,0.0,2979304.9,True,True,True,0.12334038378226855,0.8766596162177315,0.20386840294589842,0.0,0.6727912132718331,1.0,0.0009999999999999998,-0.0009999999999999998,1121336.5798672638
466212.4023024,466212.4023024,0.0,0.0,0.0,0.0,0.0,1402101.22,460251.99999999994,941849.22,932905.9999999999,361036.0,1109290.0,292811.22,0.0,51674.99999999999,0.0,0.0,49318.619999999995,0.0,7114.0543675,34,26-35,571869.9999999999,292811.22,571869.9999999999,0.0,941849.22,False,True,False,0.1764788931243823,0.8235211068756176,0.0,0.0,0.8235211068756176,1.0,0.0,0.0,320220.24952955893
327689.22845359996,327689.22845359996,0.0,0.0,0.0,0.0,0.0,522261.99999999994,300679.6,221582.4,427179.99999999994,261819.99999999997,501591.99999999994,20670.0,0.0,20670.0,0.0,0.0,0.0,0.0,7597.5195099,32,26-35,165359.99999999997,20670.0,165359.99999999997,0.0,221582.4,False,True,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,110309.74442871247
644951.98146392,551113.7024055,0.0,0.0,0.0,93838.27905842,0.0,281801.0,139178.0,142623.0,0.0,0.0,0.0,281801.0,0.0,30315.999999999996,0.0,68900.0,0.0,0.0,9876.0060774,34,26-35,0.0,281801.0,0.0,0.0,142623.0,False,True,False,0.10757946210268947,0.8924205378973106,0.24449877750611246,0.0,0.6479217603911981,0.8545034642029865,0.0,0.1454965357970135,131491.97151530645
586861.6182405599,586861.6182405599,0.0,0.0,0.0,0.0,0.0,1591452.2,530530.0,1060922.2,964599.9999999999,468519.99999999994,1052792.0,538660.2,0.0,183136.19999999998,0.0,20670.0,0.0,0.0,13731.080099,34,26-35,496079.99999999994,538660.2,496079.99999999994,0.0,1060922.2,False,True,False,0.3399846508058327,0.6600153491941674,0.038372985418265546,0.0,0.6216423637759019,1.0,0.0,0.0,704245.8461590719
557071.68837112,364926.64077662,201082.02654982,104.26475450859,-8936.978958075999,0.0,0.0,3214873.9999999995,1352093.5999999999,1862780.4,1102400.0,690378.0,2782182.0,432691.99999999994,0.0,347256.0,0.0,13779.999999999998,44096.0,0.0,10206.395464,33,26-35,412022.0,432691.99999999994,412022.0,0.0,1862780.4,False,True,False,0.8025477707006371,0.1974522292993629,0.03184713375796178,0.0,0.16560509554140113,0.6550802139014945,0.34510695186896034,-0.00018716577045485572,1556030.1694123272
