INCOME,WAGEINC,BUSSEFARMINC,INTDIVINC,KGINC,TRANSFOTHINC,SSRETINC,ASSET,DEBT,NETWORTH,HOUSES,MRTHEL,NFIN,FIN,ODEBT,LIQ,BOND,STOCKS,IRAKH,OTHMA,WGT,AGE,Age Group,NETHOUSE,NETFIN,NETHOUSECLIPPED,NETHOUSEDIFF,NETWORTHADJUSTED,isPersonalQualified,isIncomeQualified,isFinancialQualified,PERCENTLIQUIDASSETS,PERCENTILLIQUIDASSETS,PERCENTSTOCKS,PERCENTBOND,PERCENTFINOTHERS,PERCENTFIXEDINCOME,PERCENTVARIABLEINCOME,PERCENTOTHERINCOME,COMMITMENTAMOUNT,Cluster
619630.54108592,126607.20190377998,-6851.683868042,16414.251353265998,484086.36022682,0.0,0.0,1723051.2,351390.0,1371661.2,427180.0,319696.0,500214.0,1222837.2,0.0,652896.3999999999,0.0,489190.0,75790.0,0.0,2122.5190517,35,26-35,107483.99999999994,1222837.2,107483.99999999994,0.0,1371661.2,False,True,True,0.5339193148523776,0.4660806851476223,0.4000450755014649,0.0,0.0660356096461575,0.20432692307564,0.7966826923135686,-0.0010096153892086,1506898.124051816,5
640483.4919862599,253214.40380755995,0.0,0.0,297899.29859793995,89369.78957938199,0.0,1033500.0,663507.0,369993.0,869517.9999999999,640770.0,989404.0,44096.0,0.0,44096.0,0.0,0.0,0.0,0.0,12200.762907,34,26-35,228747.99999999988,44096.0,228747.99999999988,0.0,369993.0,False,True,False,1.0,0.0,0.0,0.0,0.0,0.3953488372078012,0.465116279069267,0.1395348837229317,377570.1085812498,5
312794.26353266,297899.29859793995,0.0,74.474824648796,14894.964929208,0.0,0.0,830520.6,286624.0,543896.6,551200.0,286624.0,591988.7999999999,238531.8,0.0,63801.4,17914.0,0.0,137800.0,0.0,8359.24304,31,26-35,264576.0,238531.8,264576.0,0.0,543896.6,False,True,False,0.267475447718082,0.7325245522819179,0.0,0.0751010976314269,0.6574234546504911,0.9523809523662676,0.0478571428542,-0.0002380952204675,637011.2029333614,0
350031.67585568,342584.19338832,0.0,0.0,7596.4321142268,0.0,0.0,1366976.0,542932.0,824043.9999999999,490568.0,542932.0,490568.0,876407.9999999999,0.0,8268.0,0.0,620100.0,0.0,0.0,7728.99554,35,26-35,-52364.00000000006,876407.9999999999,-52364.00000000006,0.0,824043.9999999999,False,True,False,0.0094339622641509,0.9905660377358492,0.7075471698113208,0.0,0.2830188679245282,0.9787234042486184,0.0217021276593231,-0.0004255319079414,970026.6605084678,2
403653.54960138,402164.05309964,0.0,14.894964929208,0.0,0.0,0.0,1227522.4,201188.0,1026334.4,757899.9999999999,162604.0,835067.9999999999,392454.4,0.0,161226.0,0.0,16536.0,0.0,0.0,13731.080099,33,26-35,595295.9999999999,392454.4,595295.9999999999,0.0,1026334.4,False,True,False,0.410814606741573,0.589185393258427,0.0421348314606741,0.0,0.5470505617977528,0.996309963077964,3.690036900187605e-05,0.0036531365530341,379448.4102705728,0
372374.12324398,372374.12324398,0.0,0.0,0.0,0.0,0.0,424424.0,228748.0,195676.0,0.0,0.0,95082.0,329342.0,13779.999999999998,106106.0,0.0,0.0,1378.0,0.0,9645.5448948,32,26-35,0.0,315562.0,0.0,0.0,195676.0,False,True,False,0.3221757322175732,0.6778242677824269,0.0,0.0,0.6778242677824269,1.0,0.0,0.0,130919.96782860722,0
312794.26353266,296409.80210998,0.0,0.0,0.0,0.0,14894.964929208,1240503.16,469898.0,770605.1599999999,516750.0,413400.0,640770.0,599733.1599999999,0.0,113271.6,0.0,578.76,0.0,0.0,7673.8872504,35,26-35,103350.0,599733.1599999999,103350.0,0.0,770605.1599999999,False,True,False,0.188869996783236,0.8111300032167639,0.0009650291806442,0.0,0.8101649740361196,0.9952380952366268,0.0,0.0047619047633733,457094.98771813454,0
381311.1021993,297899.29859793995,53621.873747078,0.0,29789.929859794,0.0,0.0,4263945.399999999,1324533.6,2939411.8,1102400.0,1019720.0,3089475.9999999995,1174469.4,0.0,237429.4,0.0,620100.0,165360.0,0.0,12381.543814,30,26-35,82680.00000000012,1174469.4,82680.00000000012,0.0,2939411.8,True,True,True,0.2021588642496773,0.7978411357503227,0.5279831045406548,0.0,0.2698580312096679,0.7812500000124225,0.2187500000020328,-1.4455298069648848e-11,2884816.8838121146,2
341094.69690036,0.0,339605.20039862,0.0,0.0,0.0,0.0,1647123.4,626990.0,1020133.4,1033500.0,626990.0,1389850.7999999998,257272.6,0.0,250107.0,0.0,0.0,0.0,0.0,2480.9477511,32,26-35,406509.9999999999,257272.6,406509.9999999999,0.0,1020133.4,False,True,False,0.9721478307445098,0.0278521692554901,0.0,0.0,0.0278521692554901,0.0,0.9956331877473452,0.0043668122526546,676027.4371888957,5
372374.12324398,372374.12324398,0.0,0.0,0.0,0.0,0.0,425802.0,227370.0,198432.0,0.0,0.0,96460.0,329342.0,13779.999999999998,106106.0,0.0,0.0,1378.0,0.0,9546.2785142,32,26-35,0.0,315562.0,0.0,0.0,198432.0,False,True,False,0.3221757322175732,0.6778242677824269,0.0,0.0,0.6778242677824269,1.0,0.0,0.0,170859.3731190625,0
