INCOME,FIXEDINCOME,VARIABLEINCOME,OTHERINCOME,PERSONALASSETS,RESIDENCEVALUE,LIQUIDASSETS,FINANCIALASSETS,AGE,HASLPA,HASCRITICALILLNESS,NUMBERSOURCEOFFUNDS
619630.54108592,126607.20190377995,493648.927712044,-625.5885299039965,1371661.2,427179.99999999994,652896.3999999999,500213.99999999994,35,False,True,3
640483.4919862599,253214.4038075599,297899.2985979399,89369.78958076004,369993.0,869517.9999999999,44096.0,989404.0,34,False,True,3
312794.26353265997,297899.29859794,14969.43975385679,-74.47481913677798,543896.6,551200.0,63801.399999999994,591988.7999999999,31,True,True,3
350031.67585567996,342584.19338832,7596.43211422677,-148.94964686679316,824043.9999999999,490567.99999999994,8268.0,490567.99999999994,35,False,True,2
403653.54960138,402164.05309964006,14.894964929208,1474.6015368107644,1026334.4,757899.9999999999,161226.0,835067.9999999999,33,True,True,2
372374.12324398,372374.12324398,0.0,0.0,195675.99999999997,0.0,106106.0,95082.0,32,False,True,1
312794.26353265997,311304.76703918795,0.0,1489.496493472017,770605.1599999999,516749.99999999994,113271.6,640770.0,35,False,True,2
381311.1021993,297899.29859793995,83411.80360687201,-5.511965639557216e-06,2939411.8,1102400.0,237429.4,3089475.9999999995,30,False,False,3
341094.69690036,0.0,339605.2003986199,1489.496501739999,1020133.4,1033500.0,250106.99999999997,1389850.7999999998,32,False,True,1
372374.12324398,372374.12324398,0.0,0.0,198431.99999999997,0.0,106106.0,96460.0,32,False,True,1
557071.68837112,364926.64077662,192249.31234625255,-104.26475175253692,2364248.38,1102400.0,666952.0,2783560.0,33,False,True,3
347052.68286597996,342584.19338832,4170.590180343596,297.89929731638546,824043.9999999999,490567.99999999994,8268.0,490567.99999999994,35,False,True,2
1489496.4929208,1489496.4929208,1489.4964929206512,-1489.4964929206512,2868238.0999999996,0.0,222409.2,275600.0,26,False,True,2
381311.1021993,297899.29859793995,83411.80360687201,-5.511965639557216e-06,2938171.5999999996,1102400.0,237429.4,3088097.9999999995,30,False,True,3
314283.76002061996,314283.76002061996,372.374123243959,-372.374123243959,876407.9999999999,0.0,907688.6,85436.0,34,False,True,2
656867.95340894,633036.0095189,24129.84318625398,-297.8992962139087,609076.0,0.0,38584.0,17914.0,29,False,True,3
801349.1132233599,0.0,787943.6447953406,13405.468428019278,7234499.999999999,2273700.0,260441.99999999997,6706725.999999999,31,False,True,3
424506.50050171994,417059.01803435996,7149.583166350533,297.8993010093993,3412079.5799999996,0.0,95109.56,2451462.0,33,True,True,4
418548.5145223199,417059.0180343599,0.0,1489.4964879599759,170183.0,0.0,28248.999999999996,53741.99999999999,26,False,True,1
327689.22845359996,327689.22845359996,0.0,0.0,221582.4,427179.99999999994,20670.0,501591.99999999994,32,False,True,1
333647.21443299996,315773.25650858006,44.6848947889757,17829.273029630942,175875.51799999998,0.0,74992.13799999999,73034.0,32,True,True,3
689636.8762542999,691126.37274226,0.0,-1489.496487960055,1031805.06,964600.0,195124.8,1054170.0,34,False,True,1
312794.26353265997,245766.92134019997,67027.34218419198,8.268010968445578e-06,372204.68999999994,937040.0,6483.49,988026.0,33,False,True,2
557071.68837112,364926.64077662,192249.31234625255,-104.26475175253692,1862780.4,1102400.0,347256.0,2782182.0,33,False,True,3
403653.54960138,402164.05309964006,14.894964929208,1474.6015368107644,986510.2,757899.9999999999,161226.0,835067.9999999999,33,False,True,2
312794.26353265997,312794.26353265997,0.0,0.0,1159242.5,2149680.0,24114.999999999996,2230982.0,33,False,True,1
753685.2254570599,744748.24648796,9383.827905841948,-446.84893674198366,1103240.5799999998,0.0,388058.58,0.0,27,False,False,3
431953.9829690799,366416.13727836,50642.88076096078,14894.964929759053,407777.7599999999,0.0,70305.56,118370.2,30,False,True,4
414080.02504466,357479.15832303994,57345.614979131926,-744.748257511835,2931006.0,2301260.0,124020.0,3061915.9999999995,29,False,False,4
330668.22144329996,253214.403802048,0.0,77453.81764125195,548444.0,0.0,106106.0,0.0,26,False,True,3
1623551.1773883998,0.0,1620572.1843711399,2978.9930172600066,26895803.999999996,1791399.9999999998,289380.0,26716663.999999996,32,True,True,2
393227.07414432,367905.63376631995,14299.166332645984,11022.274045354026,409155.7599999999,0.0,70305.56,118370.2,30,False,False,4
4021640.530996399,446848.9478900198,3574791.5832303995,-0.00012402068542952414,16188881.8,1240200.0,413537.8,12159471.999999998,41,False,True,2
863907.9659381598,819223.0711477799,44089.096191061995,595.7985993178168,3694417.999999999,2370160.0,399619.99999999994,2840058.0,41,False,True,3
303857.28456356,303857.28456356,0.0,0.0,1845004.2,1123070.0,90948.0,1258114.0,43,False,True,1
981578.18887284,975620.2029072199,5779.246392714528,178.7395729054194,1062438.0,0.0,263198.0,0.0,36,False,True,3
522813.2690378,446848.94789002003,75964.32114226797,5.512011487720441e-06,629125.8999999999,1240200.0,18396.3,2288858.0,42,False,True,2
394716.57064605993,372374.12324398,0.0,22342.447402079928,417809.6,716560.0,45611.8,733785.0,41,False,True,2
577924.63928524,513876.29008247994,62558.85270556735,1489.4964971925913,3546696.4,1433120.0,55808.99999999999,1980599.4,45,False,True,4
332157.71793125995,256193.39679725995,76411.17009015799,-446.84895615801344,825421.9999999999,675220.0,248315.6,717938.0,44,True,True,3
303857.28456356,303857.28456356,0.0,0.0,2219682.4,1378000.0,90948.0,1513043.9999999998,43,False,True,1
755174.7219450199,744748.2464879599,10426.475450858969,6.200948934292889e-06,4526041.0,1378000.0,111618.0,5580900.0,41,False,True,3
