Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 
  39 Year,61831,59222,61471,60081,61081,60241,60518,58365,62341,59881,61012,63665,66457,64643,63502,59978,58811,60890,61003,64184,63157,65585,65397,64363,64674,64109,63726,62135,61585,58836,56707,55173,51817,49074,46113,45493,44022,41708,41832,28374,22406,27256,23653,24376,28387
  40 Year,59866,62958,61640,59496,60080,60509,58334,62251,59810,60833,63618,66265,64578,63290,60194,59698,61075,61242,64518,63532,65759,64314,64601,64662,64220,63882,62366,61790,59020,56854,55332,52004,49260,46358,46489,44131,41855,41963,28432,22441,27375,23754,24471,28492,29115
  41 Year,63449,63028,60949,58569,60227,58334,62114,59723,60665,63483,66062,64422,63171,59980,59921,61803,61296,64691,63814,65926,64430,63507,64838,64513,63969,62586,62011,59141,57036,55503,52135,49396,46513,46742,44896,41981,42103,28479,22437,27473,23804,24523,28549,29121,28237
  42 Year,63387,62254,59884,58580,58093,61968,59650,60591,63367,65902,64184,62993,59858,59778,62055,61834,64753,64006,66154,64674,63549,63743,64635,64049,62721,62130,59263,57116,55660,52248,49514,46619,46905,45112,42773,42245,28514,22413,27514,23831,24563,28572,29104,28219,23156
  43 Year,62465,60992,59861,56334,61660,59620,60449,63218,65813,63942,62811,59603,59601,61836,61946,65242,64009,66234,64770,63597,63718,63602,64097,62729,62185,59320,57237,55770,52352,49577,46703,47015,45237,42957,42946,28546,22402,27572,23856,24580,28592,29085,28177,23136,20952
  44 Year,61092,60941,57537,59791,59231,60332,63093,65701,63790,62595,59348,59298,61615,61730,65325,64406,66230,64876,63761,63743,63601,63116,62692,62043,59325,57322,55879,52442,49618,46814,47099,45284,43086,43041,28959,22365,27628,23878,24599,28595,29045,28105,23103,20817,22629
  45 Year,61141,58562,60965,57552,59925,62896,65570,63668,62487,59147,59055,61310,61505,65165,64448,66602,64807,63708,63819,63612,63095,61721,62065,59466,57317,55937,52541,49659,46857,47174,45404,43148,43105,29082,22666,27665,23870,24591,28578,28971,28022,23037,20680,22422,22981
  46 Year,58666,61938,58639,58103,62527,65365,63406,62324,58992,58817,60973,61196,64870,64244,66596,65066,63567,63860,63600,63065,61682,61099,59431,57278,55905,52566,49687,46899,47203,45451,43191,43134,29144,22785,28045,23885,24595,28570,28890,27923,22988,20523,22192,23020,20448
  47 Year,61956,59497,59117,60627,64961,63186,62097,58744,58594,60799,60959,64553,64046,66359,65087,63686,63699,63524,63043,61639,61053,58617,57211,55838,52541,49689,46928,47215,45466,43201,43111,29155,22845,28082,24139,24610,28557,28805,27825,22906,20356,21939,23042,20506,20546
  48 Year,59474,60074,61591,63013,62836,61900,58577,58402,60596,60722,64217,63652,66015,64825,63652,63731,63323,62928,61578,60883,58502,56385,55791,52335,49610,46895,47221,45474,43182,43088,29187,22838,28080,24188,24846,28520,28725,27729,22822,20162,21680,23068,20556,20516,19501
  49 Year,59987,62444,64005,60830,61491,58335,58188,60319,60514,63928,63329,65625,64489,63398,63676,63412,62682,61532,60818,58347,56339,54969,52240,49652,46828,47196,45487,43178,43061,29172,22870,28057,24211,24868,28743,28612,27630,22736,19967,21381,23084,20599,20454,19476,19486
  50 Year,62352,64841,61668,59488,57874,57863,60076,60219,63657,63010,65309,64122,63029,63392,63241,62639,61232,60666,58245,56157,54801,50710,49556,46693,47090,45413,43101,42995,29119,22886,28002,24197,24865,28713,28746,27484,22634,19747,21091,23045,20625,20369,19393,19368,19935
  51 Year,64758,62362,60268,55994,57508,59799,59890,63296,62675,64879,63745,62637,63020,62976,62271,61200,60432,58168,56055,54595,50691,48097,46552,46919,45306,43007,42890,29059,22853,27948,24164,24842,28646,28695,27549,22517,19521,20812,23023,20638,20291,19321,19247,19792,19336
  52 Year,62267,61005,56670,55655,59381,59594,63018,62380,64597,63350,62247,62603,62595,62010,60582,60283,57911,55869,54435,50524,48076,45205,46767,45024,42836,42772,28985,22802,27863,24138,24771,28590,28593,27476,22554,19278,20510,22980,20665,20210,19275,19129,19671,19234,18413
  53 Year,60807,57284,56306,57517,59138,62673,62091,64205,63039,61899,62305,62277,61742,60319,59684,57804,55611,54243,50454,47932,45129,45481,44855,42809,42631,28890,22732,27764,24051,24705,28490,28480,27395,22487,19179,20234,22943,20680,20098,19216,19000,19515,19107,18357,16942
  54 Year,57148,56875,58072,57308,62167,61753,63890,62714,61630,61953,61897,61349,59990,59433,57266,55457,54003,50274,47805,44960,45413,43687,42637,42397,28794,22656,27632,23957,24611,28390,28383,27291,22402,19119,20064,22897,20673,19978,19149,18838,19328,18963,18260,16908,15548
  55 Year,56737,58701,57911,60146,61316,63544,62386,61276,61714,61523,61067,59712,59203,56983,54824,53876,50109,47668,44908,45272,43599,41528,42170,28614,22540,27501,23849,24463,28280,28232,27175,22325,19030,19955,22953,20636,19837,19063,18674,19147,18831,18142,16850,15460,14807
  56 Year,58446,58473,60812,59354,62966,61963,60982,61336,61151,60709,59397,58824,56643,54552,53280,49957,47386,44713,45115,43399,41410,41081,28448,22329,27344,23726,24321,28146,28061,27000,22229,18943,19883,22817,20695,19700,18951,18506,18963,18656,18034,16796,15357,14690,14321
  57 Year,58100,61326,59882,60883,61377,60573,61000,60745,60295,59023,58443,56314,54217,53032,49672,47252,44450,44917,43165,41215,40940,27508,22196,27281,23597,24165,28003,27895,26864,22112,18841,19741,22620,20540,19645,18823,18354,18761,18447,17878,16745,15248,14584,14192,14135
  58 Year,61001,60294,61357,59501,60069,60659,60376,59988,58680,58126,56007,53863,52675,49402,46930,44325,44711,42970,40962,40684,27435,21492,27072,23433,23986,27807,27672,26685,21967,18737,19607,22457,20385,19468,18771,18177,18536,18265,17733,16624,15123,14460,14024,13999,13116
  59 Year,59944,61874,59873,58342,60102,60020,59646,58333,57751,55682,53478,52356,49079,46709,43990,44537,42700,40715,40451,27233,21404,26285,23289,23792,27594,27432,26490,21814,18580,19450,22276,20213,19309,18618,18038,18309,18058,17584,16529,14960,14275,13829,13851,13026,13068
  60 Year,61597,60346,58756,58272,59469,59265,57982,57339,55254,53107,52011,48778,46381,43735,44195,42554,40496,40247,27076,21215,26184,22522,23588,27304,27150,26270,21625,18448,19270,22078,20039,19135,18458,17843,18138,17815,17393,16400,14828,14073,13636,13670,12906,12866,13089
  61 Year,60022,58987,58595,57701,58696,57566,56925,54871,52720,51637,48388,46040,43389,43904,42197,40263,39935,26883,21112,26014,22408,22820,27015,26959,26002,21420,18252,19074,21840,19837,18942,18230,17603,17899,17617,17188,16308,14691,13881,13452,13516,12807,12679,12879,12066
  62 Year,58671,58926,58028,57013,57023,56532,54506,52319,51278,48063,45622,43055,43497,41940,39968,39680,26685,20964,25825,22236,22643,26112,26684,25717,21205,18046,18826,21609,19634,18724,18016,17387,17694,17374,17024,16174,14512,13680,13245,13315,12695,12450,12633,11841,11820
  63 Year,58507,58202,57190,55327,55948,54033,51866,50862,47695,45291,42734,43126,41541,39604,39349,26544,20744,25588,22020,22438,25958,25744,25462,20962,17847,18586,21322,19384,18516,17789,17138,17422,17153,16781,16074,14320,13462,13040,13127,12533,12177,12370,11608,11575,11153
  64 Year,57846,57327,55438,54299,53490,51432,50409,47260,44906,42395,42747,41155,39188,38977,26286,20655,25301,21819,22209,25672,25543,24526,20689,17564,18299,21048,19154,18252,17529,16900,17173,16889,16485,15831,14168,13234,12813,12929,12376,11929,12094,11364,11349,10930,10321
  65 Year,56948,55569,54426,51876,50893,49966,46868,44489,42023,42339,40723,38787,38555,26049,20377,25141,21577,21950,25417,25228,24239,19931,17317,18074,20723,18881,17990,17285,16616,16901,16596,16190,15550,13925,13045,12553,12736,12235,11648,11816,11096,11103,10705,10106,10401
  66 Year,55091,54462,51968,49377,49409,46445,44043,41568,41908,40266,38370,38130,25702,20180,24834,21350,21689,25137,24880,23967,19682,16595,17802,20401,18597,17713,16993,16303,16600,16323,15862,15225,13665,12777,12343,12492,12085,11372,11546,10815,10832,10494,9843,10110,9696
  67 Year,53960,51984,49346,47946,45852,43621,41162,41445,39897,37914,37661,25412,19924,24530,21110,21429,24789,24561,23675,19381,16369,17032,20058,18218,17394,16669,15973,16260,16008,15490,14900,13387,12536,12057,12281,11872,11062,11269,10554,10575,10282,9584,9810,9423,9974
  68 Year,51442,49309,47904,44429,43078,40724,41040,39440,37493,37179,25067,19630,24208,20823,21131,24485,24204,23308,19095,16060,16784,19270,17856,16991,16343,15620,15899,15671,15165,14556,13121,12268,11761,11905,11747,10756,10949,10267,10292,10037,9325,9524,9162,9655,9437
